58, 0, 005, 5, 0.004
226, 1, 000, 0, 0.000
394, 2, 000, 0, 0.000
562, 3, 000, 0, 0.000
730, 4, 000, 0, 0.000
898, 5, 000, 0, 0.000
1067, 6, 006, 6, 0.004
1236, 7, 020, 32, 0.025
1406, 8, 058, 88, 0.070
1576, 9, 05D, 93, 0.074
1746, 10, 077, 119, 0.095
1917, 11, 253, 595, 0.479
2087, 12, 3AE, 942, 0.759
2259, 13, 499, 1177, 0.948
2431, 14, 5EE, 1518, 1.223
2602, 15, 742, 1858, 1.497
2774, 16, 887, 2183, 1.759
2946, 17, 99A, 2458, 1.980
3117, 18, AFC, 2812, 2.266
3289, 19, C9F, 3231, 2.603
3432, 20, DBF, 3519, 2.835
3604, 21, EB2, 3762, 3.031
3776, 22, F9E, 3998, 3.221
3947, 23, FFF, 4095, 3.300
4119, 24, FFF, 4095, 3.300
4291, 25, FFF, 4095, 3.300
4462, 26, FFF, 4095, 3.300
4634, 27, FFF, 4095, 3.300
4806, 28, FFF, 4095, 3.300
4977, 29, FFF, 4095, 3.300
5149, 30, FDB, 4059, 3.270
5321, 31, ED9, 3801, 3.063
5492, 32, DAA, 3498, 2.818
5664, 33, CF9, 3321, 2.676
5836, 34, C0E, 3086, 2.486
6007, 35, B3B, 2875, 2.316
6179, 36, A8D, 2701, 2.176
6351, 37, 9DA, 2522, 2.032
6522, 38, 926, 2342, 1.887
6694, 39, 84E, 2126, 1.713
6837, 40, 777, 1911, 1.540
7009, 41, 6D0, 1744, 1.405
7181, 42, 5DF, 1503, 1.211
7352, 43, 52F, 1327, 1.069
7524, 44, 4A3, 1187, 0.956
7695, 45, 398, 920, 0.741
7865, 46, 27C, 636, 0.512
8036, 47, 1AD, 429, 0.345
8207, 48, 0A1, 161, 0.129
8377, 49, 070, 112, 0.090
8548, 50, 065, 101, 0.081
8717, 51, 043, 67, 0.053
8887, 52, 023, 35, 0.028
9057, 53, 00D, 13, 0.010
9225, 54, 001, 1, 0.000
9394, 55, 000, 0, 0.000
9562, 56, 000, 0, 0.000
9731, 57, 000, 0, 0.000
9900, 58, 000, 0, 0.000
